Time	CFP	YFP	
Seconds	mV	mV	
			
850	2251,93	3765,08
851	2201,47	3819,00
852	2211,44	3822,56
853	2212,86	3805,57
854	2194,55	3791,13
855	2261,49	3757,35
856	2290,38	3781,36
857	2254,17	3802,93
858	2185,80	3790,31
859	2212,96	3769,15
860	2174,00	3782,99
861	2197,60	3892,45
862	2261,29	3797,43
863	2211,44	3788,48
864	2160,37	3785,43
865	2278,58	3825,31
866	2245,01	3808,22
867	2217,95	3755,93
868	2262,71	3768,34
869	2276,95	3822,66
870	2267,59	3802,52
871	2220,39	3837,92
872	2240,13	3760,00
873	2284,69	3788,89
874	2324,16	3765,90
875	2375,02	3701,60
876	2261,90	3706,28
877	2272,07	3797,43
878	2296,49	3765,90
879	2336,87	3761,83
880	2320,90	3784,41
881	2303,00	3796,62
882	2295,47	3763,25
883	2259,46	3811,88
884	2308,49	3749,01
885	2304,22	3760,20
886	2322,53	3727,03
887	2290,99	3730,29
888	2241,14	3742,29
889	2246,03	3762,64
890	2210,42	3804,96
891	2267,80	3812,08
892	2277,36	3787,46
893	2260,88	3806,18
894	2288,96	3766,91
895	2277,36	3775,46
896	2245,62	3755,72
897	2270,04	3743,51
898	2321,31	3771,19
899	2281,33	3747,48
900	2269,83	3733,75
901	2278,99	3776,48
902	2252,33	3773,63
903	2259,25	3792,75
904	2305,64	3778,92
905	2276,14	3736,60
906	2278,89	3748,09
907	2265,15	3807,81
908	2294,86	3809,03
909	2301,17	3755,52
910	2302,39	3773,42
911	2257,01	3758,98
912	2275,53	3739,45
913	2318,87	3733,75
914	2311,75	3742,90
915	2266,78	3704,45
916	2316,43	3721,13
917	2356,30	3692,65
918	2278,99	3641,17
919	2295,06	3708,72
920	2336,36	3767,32
921	2275,73	3746,77
922	2227,31	3773,22
923	2245,62	3705,47
924	2257,42	3733,95
925	2259,86	3707,71
926	2278,78	3722,76
927	2312,15	3730,39
928	2321,31	3740,46
929	2331,28	3677,39
930	2354,88	3734,77
931	2300,35	3747,79
932	2303,00	3725,61
933	2270,24	3726,42
934	2268,51	3730,70
935	2320,49	3710,35
936	2362,81	3709,74
937	2348,57	3695,09
938	2353,86	3694,48
939	2409,61	3695,70
940	2399,44	3746,57
941	2397,81	3703,43
942	2462,51	3644,43
943	2379,70	3594,17
944	2375,84	3599,06
945	2435,65	3639,14
946	2343,69	3608,82
947	2374,72	3622,05
948	2320,70	3727,85
949	2375,02	3643,61
950	2343,28	3671,69
951	2356,51	3648,50
952	2394,76	3683,90
953	2380,11	3673,32
954	2417,75	3650,13
955	2444,81	3655,62
956	2332,30	3699,97
957	2344,10	3664,57
958	2366,07	3746,77
959	2435,25	3692,45
960	2361,59	3698,35
961	2374,41	3682,68
962	2408,80	3713,20
963	2394,35	3672,91
964	2373,40	3636,70
965	2451,93	3624,29
966	2418,97	3589,09
967	2427,31	3614,32
968	2503,51	3605,57
969	2513,38	3614,93
970	2487,13	3571,79
971	2519,48	3541,48
972	2511,95	3615,54
973	2432,20	3592,34
974	2429,35	3545,14
975	2431,79	3613,09
976	2405,34	3718,90
977	2378,28	3708,72
978	2396,59	3717,47
979	2404,53	3670,27
980	2351,83	3655,62
981	2356,10	3695,60
982	2384,18	3694,68
983	2387,03	3662,13
984	2381,53	3623,47
985	2389,47	3630,39
986	2458,85	3667,22
987	2391,50	3638,12
988	2411,95	3616,86
989	2448,07	3719,51
990	2430,16	3720,52
991	2430,98	3660,30
992	2413,07	3686,54
993	2385,60	3676,98
994	2387,84	3631,81
995	2421,41	3617,16
996	2445,01	3575,86
997	2494,05	3546,77
998	2529,65	3624,69
999	2488,96	3656,23
1000	2452,54	3653,38
1001	2501,37	3659,89
1002	2496,29	3635,88
1003	2462,51	3609,84
1004	2496,29	3599,26
1005	2465,56	3580,54
1006	2492,62	3599,46
1007	2471,67	3571,39
1008	2393,74	3574,44
1009	2498,32	3600,07
1010	2464,95	3633,24
1011	2488,76	3638,93
1012	2494,46	3633,24
1013	2390,89	3614,32
1014	2460,88	3544,73
1015	2492,22	3560,40
1016	2481,64	3584,20
1017	2460,48	3624,29
1018	2475,74	3660,50
1019	2450,71	3681,46
1020	2451,32	3665,59
1021	2439,11	3722,76
1022	2422,94	3654,40
1023	2425,48	3571,79
1024	2465,56	3643,00
1025	2519,69	3621,03
1026	2534,54	3544,12
1027	2442,37	3579,93
1028	2456,61	3561,82
1029	2414,09	3528,96
1030	2552,24	3526,62
1031	2544,71	3515,64
1032	2539,83	3526,22
1033	2559,36	3540,46
1034	2443,79	3549,82
1035	2488,56	3487,15
1036	2549,90	3536,59
1037	2570,75	3524,39
1038	2445,01	3604,96
1039	2476,96	3561,21
1040	2462,10	3666,00
1041	2546,14	3629,17
1042	2534,64	3648,29
1043	2494,05	3648,09
1044	2428,33	3587,87
1045	2473,50	3574,84
1046	2500,15	3640,36
1047	2500,76	3586,44
1048	2516,84	3633,24
1049	2513,58	3592,75
1050	2531,08	3611,47
1051	2478,99	3575,05
1052	2565,87	3592,14
1053	2531,49	3565,08
1054	2508,90	3564,06
1055	2525,18	3600,07
1056	2509,31	3615,03
1057	2481,23	3566,50
1058	2572,99	3557,35
1059	2607,58	3493,66
1060	2606,16	3492,64
1061	2604,94	3480,64
1062	2528,03	3471,28
1063	2540,13	3506,68
1064	2550,20	3520,11
1065	2570,14	3571,39
1066	2532,71	3567,52
1067	2565,87	3537,81
1068	2540,85	3555,31
1069	2503,20	3574,13
1070	2482,04	3650,74
1071	2558,75	3657,86
1072	2567,91	3674,13
1073	2467,19	3615,54
1074	2480,82	3632,42
1075	2485,50	3642,80
1076	2417,75	3681,25
1077	2460,17	3681,25
1078	2477,57	3645,45
1079	2410,22	3677,19
1080	2443,18	3644,22
1081	2539,83	3600,07
1082	2514,80	3562,64
1083	2492,22	3574,74
1084	2538,40	3577,49
1085	2576,86	3574,84
1086	2575,84	3624,90
1087	2564,24	3603,33
1088	2474,11	3627,95
1089	2528,03	3621,44
1090	2529,76	3616,55
1091	2534,94	3567,11
1092	2525,59	3561,42
1093	2523,55	3596,00
1094	2491,81	3552,46
1095	2496,29	3558,77
1096	2585,81	3572,61
1097	2520,30	3597,02
1098	2559,77	3547,78
1099	2591,30	3526,42
1100	2556,51	3524,39
1101	2483,27	3562,23
1102	2501,78	3589,90
1103	2606,97	3582,68
1104	2591,10	3601,29
1105	2553,26	3595,80
1106	2506,87	3687,36
1107	2461,29	3649,51
1108	2493,85	3659,28
1109	2436,88	3666,81
1110	2486,72	3665,08
1111	2461,29	3651,14
1112	2448,47	3623,88
1113	2544,10	3690,82
1114	2461,49	3695,09
1115	2516,84	3617,16
1116	2522,53	3706,28
1117	2440,13	3633,64
1118	2440,94	3643,41
